"teamPerformanceID","seasonID","teamID","team","date","dateID","home","opponent","opponentTeamID","win","offRtg","defRtg","netRtg","pace","ptsPerScoringAttempt","ftPercent","2PtPercent","3PtPercent","offRebPercent","defRebPercent","assistPercent","blockPercent","simpleRPI","margin","ptsScored","ptsAllowed","teamPerformanceID","seasonID","teamID","team","date","dateID","home","opponent","opponentTeamID","win","offRtg","defRtg","netRtg","pace","ptsPerScoringAttempt","ftPercent","2PtPercent","3PtPercent","offRebPercent","defRebPercent","assistPercent","blockPercent","simpleRPI","margin","ptsScored","ptsAllowed"
544,4,10,"Ohio St.","2018-12-28",3236,0,"Purdue ",12,0,64.8,94.3,-29.6,64.2,0.71,33.3,23.5,36.4,28.2,70.6,75,17.5,74,-18,42,60,149,4,12,"Purdue","2018-12-28",3236,1,"Ohio St. ",10,1,94.3,64.8,29.6,64.2,0.97,75,37.5,42.9,29.4,71.8,71.4,20.6,89,18,60,42
1725,4,14,"Wisconsin","2018-12-31",3239,1,"Purdue ",12,1,101.9,93.6,8.3,74.2,1.16,62.5,48.8,53.3,20.6,75.7,69,19.5,74,7,76,69,150,4,12,"Purdue","2018-12-31",3239,0,"Wisconsin ",14,0,93.6,101.9,-8.3,74.5,1.02,75,51.2,28.6,24.3,79.4,66.7,14,163,-7,69,76
1204,4,1,"Michigan","2019-01-05",3244,0,"Purdue ",12,0,112.6,112.7,-0.1,62.6,1.18,76.9,55.8,40,28,73.1,75,2.8,74,-1,70,71,151,4,12,"Purdue","2019-01-05",3244,1,"Michigan ",1,1,112.7,112.6,0.1,62.9,1.22,63.2,61.1,38.5,26.9,72,66.7,20.9,46,1,71,70
15,4,5,"Iowa","2019-01-10",3249,0,"Purdue ",12,0,85.5,93.2,-7.8,66.6,0.92,66.7,51.3,17.6,15.6,73.5,87,4.9,74,-5,57,62,152,4,12,"Purdue","2019-01-10",3249,1,"Iowa ",5,1,93.2,85.5,7.8,66.6,0.98,75,39,38.5,26.5,84.4,57.1,7.7,9,5,62,57
933,4,9,"Northwestern","2019-01-13",3252,1,"Purdue ",12,0,85.3,88,-2.8,64.4,0.83,42.9,36.7,38.5,36.6,61.1,95.7,8.6,74,-3,54,57,153,4,12,"Purdue","2019-01-13",3252,0,"Northwestern ",9,1,88,85.3,2.8,64,0.92,60,51.4,22.7,38.9,63.4,69.6,16.3,69,3,57,54
684,4,13,"Rutgers","2019-01-16",3255,1,"Purdue ",12,1,96.4,90.2,6.2,61.3,1.06,81.8,43.2,35.7,18.8,58.8,61.9,13.9,74,2,65,63,154,4,12,"Purdue","2019-01-16",3255,0,"Rutgers ",13,0,90.2,96.4,-6.2,61,0.99,76,36.1,37.5,41.2,81.2,47.4,10.8,31,-2,63,65
290,4,4,"Indiana","2019-01-20",3259,0,"Purdue ",12,0,83,87.5,-4.5,63.9,0.92,83.3,38.5,37.5,32.4,67.9,61.9,2.5,74,-3,53,56,155,4,12,"Purdue","2019-01-20",3259,1,"Indiana ",4,1,87.5,83,4.5,64.2,0.97,76.2,42.5,25,32.1,67.6,52.6,10.3,39,3,56,53
1469,4,7,"Minnesota","2019-01-24",3263,1,"Purdue ",12,0,87.9,104.6,-16.7,60.7,0.78,66.7,29.5,35,34.8,71.9,75,14.6,74,-11,53,64,156,4,12,"Purdue","2019-01-24",3263,0,"Minnesota ",7,1,104.6,87.9,16.7,60.7,1.06,61.5,46.3,46.2,28.1,65.2,60,6.8,85,11,64,53
20,4,5,"Iowa","2019-01-27",3266,1,"Purdue ",12,1,119.5,93.9,25.6,61,1.18,88.9,61.9,26.7,33.3,68.6,80,13.2,74,14,72,58,157,4,12,"Purdue","2019-01-27",3266,0,"Iowa ",5,0,93.9,119.5,-25.6,61,0.97,87.5,39.5,38.9,31.4,66.7,50,7.1,9,-14,58,72
1349,4,8,"Nebraska","2019-01-31",3270,0,"Purdue ",12,1,127.7,99,28.7,65.6,1.19,87.5,55,40.7,48.4,74.3,63.6,13.2,74,20,84,64,158,4,12,"Purdue","2019-01-31",3270,1,"Nebraska ",8,0,99,127.7,-28.7,65.2,1.02,78.6,42.1,38.9,25.7,51.6,69.6,10,81,-20,64,84
1599,4,2,"Michigan St.","2019-02-03",3273,1,"Purdue ",12,1,109.8,97.1,12.7,68,1.17,75,47.1,44.4,32.1,54.8,87.5,13.3,74,8,74,66,159,4,12,"Purdue","2019-02-03",3273,0,"Michigan St. ",2,0,97.1,109.8,-12.7,67.7,0.9,81,44.4,16.7,45.2,67.9,78.3,14.7,38,-8,66,74
