win,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,assistPercent,blockPercent,foulRate,turnoverPercent,stealPercent
0,76.7,52.6,40.5,28,19.1,31.8,4.1,0.247718,0.247718,0.065189
1,64.8,93.3,37.2,42.9,48.7,72,3.3,0.277778,0.231481,0.0771605
0,72.3,76.9,52.8,35,21.9,42.3,10,0.276625,0.152144,0.0414938
0,73.5,70.6,39.1,33.3,34.1,56.5,20,0.163265,0.204918,0.136612
0,75.4,50,39.4,33.3,34.6,53.3,9.8,0.198939,0.185676,0.0928382
1,65.5,77.3,53.8,37.5,37.5,70.4,10.3,0.351145,0.168712,0.0613497
0,75.9,68.2,37.8,31.6,21.7,39.1,2.3,0.263505,0.145695,0.0529801
0,71.5,76.9,38.1,29.4,35.9,42.9,2.9,0.251748,0.307692,0.111888
0,77,55.6,42.5,25,24.3,47.6,8.6,0.168831,0.155844,0.168831
0,72.7,72.7,38.5,27.3,24.4,69.6,6.4,0.165062,0.205198,0.109439
0,68.8,63.6,41,37.5,29.3,64,7.3,0.232558,0.130814,0.0436046
0,74.1,60,37.5,43.8,34.2,68.2,12.7,0.22942,0.107962,0.121457
1,74.3,93.1,53.2,23.1,40.6,64.3,9.6,0.134589,0.187416,0.0669344
0,69.6,61.1,51.3,33.3,39.5,42.3,2,0.201149,0.172414,0.100575
0,69.8,71.4,37.2,30,25.6,68.2,8.7,0.272206,0.244957,0.115274
0,68,63.6,34.1,42.9,28.6,65.2,9.1,0.235294,0.192024,0.0886263
0,70.3,68.2,31.8,22.2,29.2,55.6,5.1,0.241821,0.271429,0.114286
0,64.9,87.5,34.1,55.6,44.4,79.2,10.5,0.246533,0.231125,0.0924499
1,79.2,83.3,54.3,41.7,28.1,70,5.5,0.20202,0.176768,0.126263
0,76.2,88.9,35.3,35,33.3,48,12.2,0.301837,0.15748,0.131234
0,77.9,75,43.6,29.2,31.7,70.8,15.4,0.179718,0.0898588,0.192555
0,65.2,87.5,37.8,16.7,18.4,52.9,11.1,0.122699,0.199387,0.122699
1,78.8,81.2,46.7,40.9,31.6,73.3,12.2,0.190355,0.304569,0.114213
0,68.5,66.7,41.2,48,29.4,65.4,2.1,0.189781,0.131387,0.116788
0,69.9,62.5,34.7,35,29.2,54.2,8.9,0.300429,0.228898,0.0572246
0,73.5,78.6,40,35,42.9,44,4.3,0.258503,0.204082,0.176871
0,66.8,86.7,45.2,8.3,47.1,45,12.8,0.254491,0.164671,0.194611
1,68.7,87.5,54.8,38.5,22.2,67.9,7.4,0.160116,0.14556,0.0873362
1,75.4,75,48.6,58.3,27.3,62.5,7.3,0.185676,0.185676,0.132626
1,67.3,83.3,45.2,60,41.7,64,3.8,0.208024,0.178306,0.163447
0,63.5,68.8,45.9,21.4,23.5,45,9.1,0.330709,0.173228,0.110236
0,78.5,72.7,45.5,40,32.4,57.1,10.2,0.165605,0.165605,0.178344
0,74.1,41.7,36.4,21.1,26.7,50,3.6,0.242915,0.175439,0.175439
0,78.9,76.2,47.9,9.1,21.1,33.3,10.9,0.240811,0.17744,0.152091
0,76,84.2,51.2,40,29.4,58.6,8.9,0.236842,0.157895,0.0921053
0,72.1,60,43.1,50,31.6,51.7,5.4,0.305132,0.235784,0.0970874
0,80.5,88.9,36.5,5.9,20.4,15,9.4,0.285714,0.149068,0.124224
0,79.3,63.6,50,39.1,26.3,58.6,0,0.214376,0.239596,0.113493
0,71.7,68.4,46.2,23.1,46.3,66.7,13,0.27894,0.181311,0.13947
0,74.3,64.3,35.8,18.8,26,68.2,2.1,0.228802,0.188425,0.0942127
0,76,80,26.2,47.8,20.9,63.6,8.9,0.223684,0.236842,0.131579
0,77.2,40,52.5,32,28.2,75.9,4.3,0.297927,0.233161,0.103627
0,79.1,79.2,30.8,25,31.9,31.6,4.7,0.214918,0.265487,0.11378
0,73.6,80,44,47.1,48.7,40,10.9,0.203804,0.190217,0.122283
0,73,90,62.9,41.4,32.3,67.6,12.5,0.273973,0.164384,0.123288
0,72.7,92.9,42.9,27.8,31.6,56.5,5.3,0.165062,0.261348,0.123796
0,76.4,66.7,40,31.8,14.6,34.8,7.5,0.183246,0.222513,0.091623
0,73.9,87.5,27.9,40,15.4,56.2,5,0.162382,0.14885,0.121786
0,71.5,57.1,43.2,18.2,26.3,38.1,2.1,0.237762,0.153846,0.125874
0,69.2,85.7,57.1,29.2,31.2,55.6,13.7,0.245665,0.231214,0.115607
0,65.8,70,44.2,28.6,41,48.1,3.8,0.121581,0.182371,0.106383
0,73,71.4,42,12.5,34,39.1,3.8,0.178082,0.219178,0.109589
0,70.6,66.7,41.9,43.8,38.2,68,0,0.184136,0.226629,0.141643
0,75.2,57.1,33.3,43.8,31,37.5,2.3,0.305851,0.265957,0.0797872
0,68.5,50,47.4,31.6,17.6,45.8,11.1,0.277372,0.218978,0.0875912
0,60.9,64.3,45.2,40,19.4,69.6,8,0.295566,0.131363,0.0821018
0,68.3,100,50,53.8,34.4,42.4,4.3,0.219619,0.190337,0.0732064
0,86.2,83.3,42.4,35.1,11.6,48.1,3.3,0.139211,0.185615,0.0812065
0,67.5,87.5,38.5,66.7,25,57.1,8.3,0.237037,0.222222,0.251852
0,66.4,81.8,38,25,35.4,45.8,5.1,0.301205,0.180723,0.060241
