teamPerformanceID,seasonID,teamID,team,date,dateID,home,opponent,opponentTeamID,win,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,simpleRPI,margin,ptsScored,ptsAllowed,stealPercent,turnoverPercent,trueShootingPercent,foulRate,teamPerformanceID,seasonID,teamID,team,date,dateID,home,opponent,opponentTeamID,win,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,simpleRPI,margin,ptsScored,ptsAllowed,stealPercent,turnoverPercent,trueShootingPercent,foulRate
421,4,11,Penn St.,12/28/18,3236,1,Maryland ,6,0,79.2,100.8,-21.6,76.7,0.86,52.6,40.5,28,19.1,58.8,31.8,4.1,17,-16,61,77,0.065189,0.195567,0.433485,0.247718,1063,4,6,Maryland,12/28/18,3236,0,Penn St. ,11,1,100.8,79.2,21.6,76.7,1.08,66.7,46.9,45.5,41.2,80.9,53.6,8.1,125,16,77,61,0.065189,0.247718,0.545635,0.221643
679,4,13,Rutgers,12/31/18,3239,0,Maryland ,6,1,112.1,100.9,11.2,64.8,1.03,93.3,37.2,42.9,48.7,70.4,72,3.3,17,8,73,65,0.154321,0.185185,0.516997,0.277778,1064,4,6,Maryland,12/31/18,3239,1,Rutgers ,13,0,100.9,112.1,-11.2,64.8,1.13,72.7,46.7,41.2,29.6,51.3,61.9,18.6,31,-8,65,73,0.0771605,0.231481,0.573394,0.262346
546,4,10,Ohio St.,1/5/19,3244,0,Maryland ,6,0,95.6,103.7,-8.1,72.3,1.11,76.9,52.8,35,21.9,61.5,42.3,10,17,-6,69,75,0.0829875,0.2213,0.558976,0.276625,1065,4,6,Maryland,1/5/19,3244,1,Ohio St. ,10,1,103.7,95.6,8.1,72.3,1,80.8,42,30.8,38.5,78.1,64,8.3,89,6,75,69,0.0414938,0.152144,0.503761,0.2213
1343,4,8,Nebraska,1/8/19,3247,1,Maryland ,6,0,87.4,109.1,-21.7,73.5,0.91,70.6,39.1,33.3,34.1,70.6,56.5,20,17,-18,63,81,0.136054,0.217687,0.459988,0.163265,1066,4,6,Maryland,1/8/19,3247,0,Nebraska ,8,1,109.1,87.4,21.7,73.2,1.2,63.6,48.9,58.8,29.4,65.9,46.9,10.9,81,18,81,63,0.136612,0.204918,0.605925,0.204918
1206,4,1,Michigan,1/12/19,3251,0,Maryland ,6,0,92.3,109,-16.7,75.4,0.83,50,39.4,33.3,34.6,78.1,53.3,9.8,17,-14,69,83,0.0928382,0.119363,0.418689,0.198939,1067,4,6,Maryland,1/12/19,3251,1,Michigan ,1,1,109,92.3,16.7,75.4,1.22,66.7,56.1,45,21.9,65.4,65.6,10.6,46,14,83,69,0.0928382,0.185676,0.613905,0.185676
1595,4,2,Michigan St.,1/17/19,3256,1,Maryland ,6,1,117.6,92.5,25.2,65.5,1.18,77.3,53.8,37.5,37.5,71.4,70.4,10.3,17,17,77,60,0.0916031,0.167939,0.595238,0.351145,1068,4,6,Maryland,1/17/19,3256,0,Michigan St. ,2,0,92.5,117.6,-25.2,65.2,0.95,64,48.7,16.7,28.6,62.5,66.7,2.6,38,-17,60,77,0.0613497,0.168712,0.483871,0.306748
427,4,11,Penn St.,1/20/19,3259,0,Maryland ,6,0,90,103.3,-13.3,75.9,0.9,68.2,37.8,31.6,21.7,87.5,39.1,2.3,17,-12,67,79,0.0395257,0.131752,0.454669,0.263505,1069,4,6,Maryland,1/20/19,3259,1,Penn St. ,11,1,103.3,90,13.3,75.5,1.15,75,53.5,37.5,12.5,78.3,48.3,6.7,125,12,79,67,0.0529801,0.145695,0.582596,0.278146
551,4,10,Ohio St.,1/24/19,3263,1,Maryland ,6,0,81.2,96,-14.8,71.5,0.87,76.9,38.1,29.4,35.9,63,42.9,2.9,17,-13,57,70,0.153846,0.237762,0.440358,0.251748,1070,4,6,Maryland,1/24/19,3263,0,Ohio St. ,10,1,96,81.2,14.8,71.5,1.17,60.9,54.3,42.9,37,64.1,60,7.1,89,13,70,57,0.111888,0.307692,0.592016,0.251748
292,4,4,Indiana,1/27/19,3266,1,Maryland ,6,0,74.1,96.8,-22.6,77,0.87,55.6,42.5,25,24.3,65,47.6,8.6,17,-20,56,76,0.103896,0.246753,0.438048,0.168831,1071,4,6,Maryland,1/27/19,3266,0,Indiana ,4,1,96.8,74.1,22.6,77,0.96,61.1,48.3,23.1,35,75.7,48.4,12.5,39,20,76,56,0.168831,0.155844,0.4815,0.233766
1733,4,14,Wisconsin,1/31/19,3270,0,Maryland ,6,0,76.8,105.4,-28.6,72.7,0.84,72.7,38.5,27.3,24.4,65.6,69.6,6.4,17,-18,57,75,0.110041,0.220083,0.420106,0.165062,1072,4,6,Maryland,1/31/19,3270,1,Wisconsin ,14,1,105.4,76.8,28.6,73.1,1.15,76.9,46.8,58.3,34.4,75.6,48.3,11.5,163,18,75,57,0.109439,0.205198,0.581952,0.164159
817,4,3,Illinois,2/4/19,3274,1,Maryland ,6,0,94,118.6,-24.6,68.8,0.97,63.6,41,37.5,29.3,57.1,64,7.3,17,-14,66,80,0.0436046,0.174419,0.486439,0.232558,1073,4,6,Maryland,2/4/19,3274,0,Illinois ,3,1,118.6,94,24.6,68.8,1.09,77.3,51.2,31.8,42.9,70.7,64.3,15.4,192,14,80,66,0.0436046,0.130814,0.550358,0.159884
1353,4,8,Nebraska,2/14/19,3284,0,Maryland ,6,0,88.1,116,-27.9,74.1,0.96,60,37.5,43.8,34.2,64.4,68.2,12.7,17,-26,63,89,0.0539811,0.202429,0.486111,0.22942,1076,4,6,Maryland,2/14/19,3284,1,Nebraska ,8,1,116,88.1,27.9,74.1,1.05,74.2,43.6,40,35.6,65.8,43.3,17.5,81,26,89,63,0.121457,0.107962,0.526379,0.22942
26,4,5,Iowa,2/17/19,3287,1,Maryland ,6,1,116.6,97.6,19,74.3,1.17,93.1,53.2,23.1,40.6,60.9,64.3,9.6,17,13,86,73,0.0672947,0.161507,0.590984,0.134589,1077,4,6,Maryland,2/17/19,3287,0,Iowa ,5,0,97.6,116.6,-19,74.7,0.93,50,46.2,30.4,39.1,59.4,41.9,6.4,9,-13,73,86,0.0669344,0.187416,0.46485,0.334672
1477,4,7,Minnesota,2/21/19,3291,0,Maryland ,6,0,100.7,100.4,0.2,69.6,1.05,61.1,51.3,33.3,39.5,65.9,42.3,2,17,-2,69,71,0.143678,0.215517,0.531423,0.201149,1078,4,6,Maryland,2/21/19,3291,1,Minnesota ,7,1,100.4,100.7,-0.2,69.6,0.98,75,43.1,37.5,34.1,60.5,42.9,7.7,85,2,71,69,0.100575,0.172414,0.491146,0.258621
165,4,12,Purdue,2/25/19,3295,1,Maryland ,6,0,78.2,84.6,-6.4,69.8,0.83,71.4,37.2,30,25.6,62.2,68.2,8.7,17,-3,55,58,0.143266,0.186246,0.416162,0.272206,1079,4,6,Maryland,2/25/19,3295,0,Purdue ,12,1,84.6,78.2,6.4,69.4,0.88,66.7,43.5,18.2,37.8,74.4,59.1,25.6,74,3,58,55,0.115274,0.244957,0.446704,0.201729
824,4,3,Illinois,3/2/19,3300,0,Maryland ,6,0,90.9,105.9,-15,68,0.92,63.6,34.1,42.9,28.6,60.5,65.2,9.1,17,-9,62,71,0.117647,0.191176,0.463794,0.235294,1080,4,6,Maryland,3/2/19,3300,1,Illinois ,3,1,105.9,90.9,15,67.7,1.03,88.2,36.4,47.1,39.5,71.4,66.7,9.8,192,9,71,62,0.0886263,0.192024,0.5184,0.206795
