bool,plusMinus,usagePercent,pointsPerScoringAttempt,effectiveFieldGoalPercent,threePointRate,freeThrowRate,offensiveReboundPercent,defensiveReboundPercent,totalReboundPercent,assistPercent,turnoverPercent,assistsPerTurnover,stealPercent,blockPercent,personalFoulPercent,usagePercent,pointsPerScoringAttempt,effectiveFieldGoalPercent,threePointRate,freeThrowRate,offensiveReboundPercent,defensiveReboundPercent,totalReboundPercent,assistPercent,turnoverPercent,assistsPerTurnover,stealPercent,blockPercent,personalFoulPercent,usagePercent,pointsPerScoringAttempt,effectiveFieldGoalPercent,threePointRate,freeThrowRate,offensiveReboundPercent,defensiveReboundPercent,totalReboundPercent,assistPercent,turnoverPercent,assistsPerTurnover,stealPercent,blockPercent,personalFoulPercent,usagePercent,pointsPerScoringAttempt,effectiveFieldGoalPercent,threePointRate,freeThrowRate,offensiveReboundPercent,defensiveReboundPercent,totalReboundPercent,assistPercent,turnoverPercent,assistsPerTurnover,stealPercent,blockPercent,personalFoulPercent,usagePercent,pointsPerScoringAttempt,effectiveFieldGoalPercent,threePointRate,freeThrowRate,offensiveReboundPercent,defensiveReboundPercent,totalReboundPercent,assistPercent,turnoverPercent,assistsPerTurnover,stealPercent,blockPercent,personalFoulPercent,home,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,margin,ptsScored,ptsAllowed,possPer40
1,2,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,100.438,99.1562,1.275,72.2375,1.06375,72.8125,46.975,37.3063,29.1187,67.4125,57.9938,9.53125,0,73,73,72.5
1,3,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,100.438,99.1562,1.275,72.2375,1.06375,72.8125,46.975,37.3063,29.1187,67.4125,57.9938,9.53125,0,73,73,72.5
0,-2,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,100.438,99.1562,1.275,72.2375,1.06375,72.8125,46.975,37.3063,29.1187,67.4125,57.9938,9.53125,0,73,73,72.5
0,0,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,100.438,99.1562,1.275,72.2375,1.06375,72.8125,46.975,37.3063,29.1187,67.4125,57.9938,9.53125,0,73,73,72.5
0,-6,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,100.438,99.1562,1.275,72.2375,1.06375,72.8125,46.975,37.3063,29.1187,67.4125,57.9938,9.53125,0,73,73,72.5
0,-2,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.1462,90.0923,4.04615,70.1308,1.01692,72.6923,44.4231,35.6231,32.7769,70.1077,47.7769,6.86154,2,66,64,69.9
1,3,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.1462,90.0923,4.04615,70.1308,1.01692,72.6923,44.4231,35.6231,32.7769,70.1077,47.7769,6.86154,2,66,64,69.9
1,4,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.1462,90.0923,4.04615,70.1308,1.01692,72.6923,44.4231,35.6231,32.7769,70.1077,47.7769,6.86154,2,66,64,69.9
1,3,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.7118,101.024,-6.30588,65.8824,0.95,67.1588,44.7706,29.4824,38.0647,67.0824,59.1941,11.4353,-4,63,67,65.5
0,-4,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.7118,101.024,-6.30588,65.8824,0.95,67.1588,44.7706,29.4824,38.0647,67.0824,59.1941,11.4353,-4,63,67,65.5
0,-2,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.7118,101.024,-6.30588,65.8824,0.95,67.1588,44.7706,29.4824,38.0647,67.0824,59.1941,11.4353,-4,63,67,65.5
0,0,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,94.7118,101.024,-6.30588,65.8824,0.95,67.1588,44.7706,29.4824,38.0647,67.0824,59.1941,11.4353,-4,63,67,65.5
1,3,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,87.7211,92.4211,-4.71579,67.0579,0.898947,63.4263,40.0684,30.6947,31.0895,65.3316,48.7316,10.0263,-2,60,63,69.1
1,6,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,87.7211,92.4211,-4.71579,67.0579,0.898947,63.4263,40.0684,30.6947,31.0895,65.3316,48.7316,10.0263,-2,60,63,69.1
0,-2,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,87.7211,92.4211,-4.71579,67.0579,0.898947,63.4263,40.0684,30.6947,31.0895,65.3316,48.7316,10.0263,-2,60,63,69.1
1,2,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,87.7211,92.4211,-4.71579,67.0579,0.898947,63.4263,40.0684,30.6947,31.0895,65.3316,48.7316,10.0263,-2,60,63,69.1
0,0,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,87.7211,92.4211,-4.71579,67.0579,0.898947,63.4263,40.0684,30.6947,31.0895,65.3316,48.7316,10.0263,-2,60,63,69.1
0,-4,18,0.86,41.3,9.7,7.7,3.7,9.3,6.5,26.5,29.1,1.37,2.3,0.5,3.5,20.4,0.94,42.2,21.9,17.4,3.1,13.5,8.3,16.7,19.5,1.11,2.1,2,5.7,16,1.14,52.6,59.2,25.5,1,9.8,5.5,6.7,14.3,0.78,1.9,0.4,4.2,18.9,1,48.6,39.7,11.6,4.1,15.1,9.7,8.5,15.4,0.75,1.9,2.4,3.5,23.2,1.13,52.8,1.7,15.2,8.1,17.6,12.9,14.6,16.4,0.89,1.1,4.6,5.1,0,100.229,84.9,15.3176,73.4765,1.05294,67.6235,50.0294,32.8235,39.6529,69.2412,59.5353,13.4118,11,71,60,72.1
