seasonID,team,date,home,opponent,win,offRtg,defRtg,netRtg,pace,ptsPerScoringAttempt,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,simpleRPI,margin,ptsScored,ptsAllowed,team,home,pointsScored,fieldGoalMade,fieldGoalAttempt,fieldGoalPercent,threePointMade,threePointAttempt,threePointPercent,freeThrowMade,freeThrowAttempt,freeThrowPercent,offensiveRebound,defensiveRebound,totalRebound,assist,turnover,steal,block,personalFoul,team,home,pointsScored,fieldGoalMade,fieldGoalAttempt,fieldGoalPercent,threePointMade,threePointAttempt,threePointPercent,freeThrowMade,freeThrowAttempt,freeThrowPercent,offensiveRebound,defensiveRebound,totalRebound,assist,turnover,steal,block,personalFoul
4,Iowa,12/30/18,0,Michigan St. ,0,92.7,107.6,-14.9,76.8,0.99,70,51.2,22.2,12.8,67.4,73.1,3.4,38,-14,70,84,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Michigan St.,1,75,27,60,0.45,6,18,0.333333333,16,20,0.8,11,25,36,19,12,7,4,19
4,Iowa,1/10/19,0,Purdue ,0,85.5,93.2,-7.8,66.6,0.92,66.7,51.3,17.6,15.6,73.5,87,4.9,74,-5,57,62,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Purdue,1,61,22,52,0.423076923,6,15,0.4,11,15,0.733333333,8,22,30,14,14,6,6,14
4,Iowa,1/14/19,0,Minnesota ,1,114.5,89.3,25.2,71,1.38,80,70.7,38.5,30,60.5,73.5,17.1,85,18,81,63,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Minnesota,1,68,24,62,0.387096774,6,18,0.333333333,15,21,0.714285714,14,22,36,14,13,6,3,15
4,Iowa,1/20/19,0,Illinois ,1,141.8,116.5,25.3,65.3,1.4,55.6,68.3,50,44.4,81.2,61.5,2.9,192,19,94,75,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Illinois,1,65,25,61,0.409836066,7,24,0.291666667,9,11,0.818181818,8,20,28,13,11,5,4,18
4,Iowa,2/1/19,0,Michigan ,0,110.8,128.7,-17.9,71.9,1.24,88.2,57.4,40,25.9,40,54.8,10.3,46,-9,81,90,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Michigan,1,73,27,58,0.465517241,5,12,0.416666667,15,20,0.75,11,22,33,13,17,7,3,15
4,Iowa,2/3/19,0,Penn St. ,1,107.7,79.6,28,75.9,1.17,63.6,57.1,40,35.5,75,73.5,13.2,125,20,81,61,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Penn St.,1,66,23,63,0.365079365,6,19,0.315789474,13,19,0.684210526,10,19,29,11,11,9,3,17
4,Iowa,2/10/19,0,Ohio St. ,1,114.5,80.4,34.1,66.4,1.2,66.7,64.1,31.6,29,77.3,71,4.8,89,26,78,52,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Ohio St.,1,64,21,51,0.411764706,6,17,0.352941176,17,24,0.708333333,8,23,30,11,17,8,2,18
4,Iowa,2/21/19,0,Indiana ,0,101.4,106.1,-4.7,71.4,1.06,63.2,51.3,33.3,14.3,75,70.4,2.8,39,-2,73,75,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Indiana,1,68,24,58,0.413793103,6,16,0.375,15,21,0.714285714,9,25,34,12,14,6,3,18
4,Iowa,2/25/19,0,Nebraska ,1,104,83,20.9,70.5,1.17,76.9,56.5,36.4,28.6,76.6,76.7,2.2,81,16,74,58,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Nebraska,1,66,22,57,0.385964912,7,20,0.35,14,20,0.7,8,23,31,13,14,7,7,17
4,Iowa,3/8/19,0,Indiana ,1,102.7,92.1,10.6,67.2,1.11,84.6,46.3,43.8,25.8,77.5,80.8,15.6,39,9,70,61,Iowa,0,77,30,58,0.517241379,6,16,0.375,11,15,0.733333333,6,27,34,22,13,6,4,14,Indiana,1,68,24,58,0.413793103,6,16,0.375,15,21,0.714285714,9,25,34,12,14,6,3,18
