win,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent
0,76.8,70,51.2,22.2,12.8,67.4,73.1,3.4,76.5,48.3,33.3,32.6,87.2,60.6,4.7
1,73.8,75,40,44.4,31.4,81.2,87.5,24.2,53.3,45.5,40,18.8,68.6,69.6,12
1,69.4,77.8,43.8,50,28.1,74.3,44,8.3,44.4,50,30.8,25.7,71.9,35.7,16.7
0,74.4,89.5,54.5,9.1,25,70,36,8.2,75,57.1,30.4,30,75,80,11.4
1,72.5,64.7,36.7,43.8,29.7,65.3,72.2,4.2,56.5,31.2,28.6,34.7,70.3,47.4,16.7
0,65.2,64,48.7,16.7,28.6,62.5,66.7,2.6,77.3,53.8,37.5,37.5,71.4,70.4,10.3
1,73,83.3,59,33.3,25.9,70,71.4,13,75,34.8,43.8,30,74.1,60.9,5.1
0,69.8,65,37.1,35,7.7,66.7,75,9.4,66.7,53.1,40.7,33.3,92.3,89.3,11.4
0,74,64.7,45.5,40,32.5,79.4,37.9,0,76.2,45.2,42.3,20.6,67.5,72,1.8
0,67.7,81,44.4,16.7,45.2,67.9,78.3,14.7,75,47.1,44.4,32.1,54.8,87.5,13.3
1,78.6,76.2,52,46.2,23.5,76.6,75,10.6,53.8,42.6,34.8,23.4,76.5,50,10
0,69,64.3,39.5,35.3,20.5,77.4,47.8,7.7,77.3,46.2,47.1,22.6,79.5,80.8,9.3
1,74.6,77.4,44.4,35.7,31.4,64.6,72,24.4,77.3,33.3,23.8,35.4,68.6,40,8.9
1,77.9,88.9,50,50,25,60.5,74.1,20,100,52.5,24,39.5,75,29.6,13.3
1,70.8,69,53.6,45,16.7,59.1,66.7,4.7,74.1,44.2,18.2,40.9,83.3,56.5,3.6
0,75.6,56.2,45.5,45.5,36.4,54.3,84,7.7,85.2,46.2,26.3,45.7,63.6,56.5,4.5
0,65.4,71.4,38.1,11.8,31,71,72.2,2.3,76.5,43.2,28.6,29,69,66.7,9.5
1,65.3,93.8,41.9,38.5,48.5,63.9,43.5,7.9,81.8,39.5,27.8,36.1,51.5,60,7
0,67.7,66.7,37,28.6,27.5,72.2,57.1,4.9,53.3,43.9,44.4,27.8,72.5,69.2,4.3
1,70,63.6,53.8,45.5,37.9,70.8,76.9,13.6,68.2,31.8,22.2,29.2,62.1,55.6,5.1
1,78.9,68,51.7,30.8,39,73.3,57.1,16.7,61.5,41.7,26.3,26.7,61,72,6.7
1,80.8,80,56.8,30.8,32.4,75.6,58.6,4.4,70.6,28.9,35,24.4,67.6,85,6.8
0,63.8,66.7,30.3,27.3,22.5,69,62.5,11.4,75,56.8,33.3,31,77.5,41.4,12.1
1,65.8,68.4,42.9,26.7,35.9,50,72.7,19.2,71.4,40.4,18.2,50,64.1,69.6,19
0,70.8,82.4,37.8,11.1,24.3,53.7,88.9,14.6,72.2,46.3,37,46.3,75.7,69,11.1
1,81.1,59.4,51,28.6,34.1,64.7,50,4.9,85.7,53.7,26.3,35.3,65.9,70.4,3.9
0,78.8,64.7,42.9,29.4,40.9,68.4,57.7,2.2,81.2,46.7,40.9,31.6,59.1,73.3,12.2
0,65.2,57.9,41,25,39.5,57.6,40,9.1,68.2,52.3,16.7,42.4,60.5,64,7.7
