win,fieldGoalAttempt,fieldGoalPercent,threePointAttempt,threePointPercent,freeThrowAttempt,freeThrowPercent,offensiveRebound,defensiveRebound,assist,turnover,steal,block,personalFoul,fieldGoalAttempt,fieldGoalPercent,threePointAttempt,threePointPercent,freeThrowAttempt,freeThrowPercent,offensiveRebound,defensiveRebound,assist,turnover,steal,block,personalFoul
0,51,31.3725,20,25,12,83.3333,5,24,10,12,6,3,15,60,43.3333,24,29.1667,15,80,12,29,22,12,8,2,17
1,57,40.3509,13,23.0769,21,80.9524,6,19,17,11,10,3,12,64,35.9375,21,19.0476,7,57.1429,18,28,15,19,6,2,19
0,61,39.3443,26,26.9231,29,62.069,9,24,17,12,8,3,18,73,46.5753,27,29.6296,21,80.9524,17,29,23,12,8,2,22
1,52,40.3846,14,42.8571,19,73.6842,9,23,15,14,13,2,13,51,39.2157,25,28,14,78.5714,7,22,17,18,8,4,13
1,57,45.614,20,35,24,70.8333,9,21,18,13,6,1,10,57,42.1053,23,47.8261,7,85.7143,8,24,13,17,9,3,25
1,49,59.1837,13,38.4615,15,86.6667,3,22,19,21,13,5,13,65,41.5385,25,36,4,75,10,16,21,19,9,4,22
0,60,38.3333,14,21.4286,33,75.7576,9,23,9,13,6,1,25,66,48.4848,15,40,33,69.697,17,27,16,16,6,2,27
0,59,33.8983,24,25,20,70,4,24,14,11,5,0,18,57,40.3509,23,30.4348,20,80,9,36,18,13,6,1,20
1,57,54.386,11,45.4545,30,73.3333,9,26,17,18,8,2,19,65,44.6154,25,32,15,40,11,16,22,14,3,2,23
0,62,33.871,15,20,32,75,13,24,11,15,10,2,17,63,52.381,30,43.3333,11,54.5455,7,28,28,16,8,9,24
1,62,59.6774,14,57.1429,26,69.2308,11,18,19,12,9,1,11,64,53.125,29,41.3793,10,90,9,14,23,14,6,6,20
0,55,29.0909,22,27.2727,12,66.6667,8,18,10,13,8,5,15,56,51.7857,12,33.3333,8,75,7,31,12,12,4,4,17
1,57,38.5965,15,26.6667,19,68.4211,13,20,16,13,9,10,17,63,36.5079,11,18.1818,14,71.4286,17,24,16,16,7,8,15
1,65,46.1538,14,28.5714,32,59.375,11,21,15,16,13,2,20,60,45,19,26.3158,21,85.7143,10,27,19,22,10,2,26
0,66,39.3939,17,29.4118,17,64.7059,17,26,15,24,9,1,18,67,44.7761,22,40.9091,16,81.25,8,25,22,14,10,6,15
0,55,36.3636,16,25,19,57.8947,12,19,8,17,7,4,21,56,44.6429,12,16.6667,22,68.1818,12,20,16,12,8,3,20
1,53,45.283,18,61.1111,14,71.4286,5,24,14,11,4,2,18,57,43.8596,12,8.33333,22,63.6364,9,23,16,9,5,3,18
1,57,49.1228,16,50,14,71.4286,10,24,16,11,5,2,12,61,31.1475,21,28.5714,4,100,9,18,12,11,4,2,19
1,59,42.3729,12,50,24,83.3333,12,24,14,15,13,2,13,65,38.4615,20,35,14,78.5714,17,20,11,20,8,2,19
0,50,36,15,26.6667,24,87.5,9,26,12,22,8,3,17,57,40.3509,21,28.5714,19,73.6842,8,20,20,14,9,3,18
0,57,38.5965,15,33.3333,18,66.6667,9,21,13,9,2,2,14,65,36.9231,20,30,17,88.2353,18,27,15,11,2,5,13
0,60,40,14,35.7143,18,83.3333,10,19,14,12,7,5,12,63,47.619,15,46.6667,19,78.9474,9,24,16,12,5,4,17
0,61,42.623,18,22.2222,20,70,4,29,19,10,7,2,16,73,45.2055,15,33.3333,17,76.4706,12,32,20,11,5,2,19
1,56,44.6429,8,50,18,77.7778,8,25,11,14,2,4,15,61,45.9016,13,30.7692,9,44.4444,8,21,10,13,2,8,19
0,55,45.4545,11,9.09091,19,89.4737,7,27,9,19,3,4,15,72,48.6111,23,30.4348,12,75,12,21,28,8,9,5,21
1,46,39.1304,16,43.75,34,64.7059,9,29,13,19,9,2,18,62,30.6452,14,28.5714,23,56.5217,14,26,9,17,9,5,27
0,51,41.1765,12,16.6667,25,64,7,19,14,11,4,1,20,55,49.0909,16,37.5,22,77.2727,11,25,19,11,6,4,23
1,54,51.8519,15,33.3333,18,83.3333,6,27,20,17,7,6,18,62,37.0968,16,43.75,12,75,10,20,14,17,10,2,15
0,55,36.3636,20,35,20,65,3,21,15,9,8,3,20,59,47.4576,27,40.7407,15,66.6667,10,30,25,14,3,4,15
0,65,44.6154,10,40,17,64.7059,12,24,11,13,4,0,18,57,43.8596,26,42.3077,21,76.1905,7,25,18,13,5,1,15
0,63,36.5079,18,16.6667,21,80.9524,17,17,18,10,9,5,17,52,46.1538,18,44.4444,24,75,7,19,21,12,7,6,21
1,63,50.7937,13,46.1538,21,76.1905,5,34,24,13,6,5,17,70,40,23,34.7826,13,53.8462,10,24,14,14,7,5,24
0,60,38.3333,17,35.2941,14,64.2857,5,24,11,10,3,3,18,56,46.4286,17,47.0588,22,77.2727,7,30,21,9,7,4,17
1,59,42.3729,14,35.7143,31,77.4194,7,25,18,11,10,11,14,66,30.303,21,23.8095,22,77.2727,12,23,8,16,7,4,25
1,54,50,24,50,18,88.8889,5,18,20,21,8,8,18,65,41.5385,25,24,11,100,14,18,8,23,10,4,18
1,48,50,20,45,29,68.9655,5,25,16,15,6,2,21,65,35.3846,22,18.1818,27,74.0741,17,23,13,10,6,1,24
0,55,45.4545,11,45.4545,16,56.25,11,18,21,24,11,3,26,58,39.6552,19,26.3158,27,85.1852,14,20,13,19,12,2,14
0,59,30.5085,17,11.7647,14,71.4286,10,21,13,11,10,1,16,51,41.1765,7,28.5714,17,76.4706,9,26,14,16,9,4,18
1,56,41.0714,13,38.4615,32,93.75,14,22,10,9,8,3,21,56,35.7143,18,27.7778,22,81.8182,9,16,12,12,5,3,25
1,50,52,11,45.4545,22,63.6364,10,32,20,19,8,6,17,62,29.0323,18,22.2222,22,68.1818,9,16,10,12,9,2,17
