a,b,b,b,b,b,b,b,b,c,c,c,c,c
win,pace,ftPercent,2PtPercent,3PtPercent,offRebPercent,defRebPercent,assistPercent,blockPercent,ftPercent,2PtPercent,3PtPercent,assistPercent,blockPercent
0,71.4563,73.2438,51.1562,28.325,33.7,69.275,64.2937,10.3562,75.4722,48.6611,30.3222,50.8778,6.63333
1,70.9071,75.8429,47.1929,32.9143,29.4143,72.5429,60.15,7.81429,75.4722,48.6611,30.3222,50.8778,6.63333
0,74.2533,73.9267,43.5733,34.5267,31.74,69.4467,46.7933,8.62,75.4722,48.6611,30.3222,50.8778,6.63333
1,77.7059,75.2471,54.5059,40.3765,30.4118,65.9647,48.0118,10.1529,75.4722,48.6611,30.3222,50.8778,6.63333
0,64.0647,68.5824,49.2294,30.6824,28.1647,68.2412,57.8941,13.6588,75.4722,48.6611,30.3222,50.8778,6.63333
0,73.6833,69.3556,43.0278,31.7556,29.4556,66.0333,50.5222,12.2611,75.4722,48.6611,30.3222,50.8778,6.63333
1,74.6556,77.2944,53.0278,40.9444,43.6889,76.35,60.95,11.0111,75.4722,48.6611,30.3222,50.8778,6.63333
1,72.8526,65.8053,49.5,40.7158,30.7,72.9684,66.2105,7.01053,75.4722,48.6611,30.3222,50.8778,6.63333
0,70.4714,65.8357,44.2929,36.7786,29.7143,62.9357,48.4571,9.21429,75.4722,48.6611,30.3222,50.8778,6.63333
1,73.3524,73.7571,55.4429,34.1857,33.819,68.6667,64.4476,9.05714,78.2895,46.9421,37.6,60.5579,7.17368
1,69.4333,66.42,48.6467,24.1067,36.52,68.9867,65.2467,13.1333,78.2895,46.9421,37.6,60.5579,7.17368
1,63.1733,59.3933,39.02,32.1667,32.1867,65.1667,68.6533,12.0133,78.2895,46.9421,37.6,60.5579,7.17368
1,70.8647,74.2882,48.0824,35.2471,33,69.2471,70.8353,15.9588,78.2895,46.9421,37.6,60.5579,7.17368
0,71.865,72.345,51.095,35.645,36.725,73.035,55.89,8.215,78.2895,46.9421,37.6,60.5579,7.17368
1,71.1625,55.15,39.35,34.1,32.0563,68.0312,68.8125,6.39375,78.2895,46.9421,37.6,60.5579,7.17368
0,75.025,74.225,47.1,31.725,38.975,60.5062,53.8687,8.74375,78.2895,46.9421,37.6,60.5579,7.17368
0,74.3133,62.28,40.14,36.5667,33.5933,67.64,57.0667,7.5,78.2895,46.9421,37.6,60.5579,7.17368
1,77.3786,75.2286,51.1214,29.95,39.9714,70.3571,59.7214,14.5357,78.2895,46.9421,37.6,60.5579,7.17368
0,66.9375,75.375,49.2438,33.8063,37.1813,67.1312,68.4125,13.7563,76.4235,47.3647,33.9529,61.8294,11.5118
0,68.7762,70.0191,51.4762,33.7476,30.9333,71.2048,52.3095,10.0048,76.4235,47.3647,33.9529,61.8294,11.5118
1,72.4533,75.02,45.3933,32.54,31.6867,63.08,52.5533,12.32,76.4235,47.3647,33.9529,61.8294,11.5118
1,75.4471,71.1353,53.5765,35.2353,33.6529,69.6294,49.4824,11.2471,76.4235,47.3647,33.9529,61.8294,11.5118
0,70.9938,78.2562,43.1625,29.8375,32.7,65.8625,45.0687,11.8625,76.4235,47.3647,33.9529,61.8294,11.5118
0,75.16,71.4067,48.78,45.52,42.5933,70.5,59.2933,10.5133,76.4235,47.3647,33.9529,61.8294,11.5118
1,69.7529,77.9529,51.3118,39.7235,38.0235,70.4765,54.9529,8.8,76.4235,47.3647,33.9529,61.8294,11.5118
1,78.8533,77.6333,47.38,35.9533,35.8867,71.9867,60.04,7.48,76.4235,47.3647,33.9529,61.8294,11.5118
